All are total faces.
Top: 1 	 Side: 2 	 Total: 3 	 n-gon: 6
Top: 3 	 Side: 3 	 Total: 6 	 n-gon: 8
Top: 6 	 Side: 4 	 Total: 10 	 n-gon: 10
Top: 10 	 Side: 5 	 Total: 15 	 n-gon: 12
Top: 15 	 Side: 6 	 Total: 21 	 n-gon: 14
Top: 21 	 Side: 7 	 Total: 28 	 n-gon: 16
Top: 28 	 Side: 8 	 Total: 36 	 n-gon: 18
Top: 36 	 Side: 9 	 Total: 45 	 n-gon: 20
Top: 45 	 Side: 10 	 Total: 55 	 n-gon: 22
Top: 55 	 Side: 11 	 Total: 66 	 n-gon: 24
Top: 66 	 Side: 12 	 Total: 78 	 n-gon: 26
Top: 78 	 Side: 13 	 Total: 91 	 n-gon: 28
Top: 91 	 Side: 14 	 Total: 105 	 n-gon: 30
Top: 105 	 Side: 15 	 Total: 120 	 n-gon: 32
Top: 120 	 Side: 16 	 Total: 136 	 n-gon: 34
Top: 136 	 Side: 17 	 Total: 153 	 n-gon: 36
Top: 153 	 Side: 18 	 Total: 171 	 n-gon: 38
Top: 171 	 Side: 19 	 Total: 190 	 n-gon: 40
Top: 190 	 Side: 20 	 Total: 210 	 n-gon: 42
Top: 210 	 Side: 21 	 Total: 231 	 n-gon: 44
Top: 231 	 Side: 22 	 Total: 253 	 n-gon: 46
Top: 253 	 Side: 23 	 Total: 276 	 n-gon: 48
Top: 276 	 Side: 24 	 Total: 300 	 n-gon: 50
Top: 300 	 Side: 25 	 Total: 325 	 n-gon: 52
Top: 325 	 Side: 26 	 Total: 351 	 n-gon: 54
Top: 351 	 Side: 27 	 Total: 378 	 n-gon: 56
Top: 378 	 Side: 28 	 Total: 406 	 n-gon: 58
Top: 406 	 Side: 29 	 Total: 435 	 n-gon: 60
Top: 435 	 Side: 30 	 Total: 465 	 n-gon: 62
Top: 465 	 Side: 31 	 Total: 496 	 n-gon: 64
Top: 496 	 Side: 32 	 Total: 528 	 n-gon: 66
Top: 528 	 Side: 33 	 Total: 561 	 n-gon: 68
Top: 561 	 Side: 34 	 Total: 595 	 n-gon: 70
Top: 595 	 Side: 35 	 Total: 630 	 n-gon: 72
Top: 630 	 Side: 36 	 Total: 666 	 n-gon: 74
Top: 666 	 Side: 37 	 Total: 703 	 n-gon: 76
Top: 703 	 Side: 38 	 Total: 741 	 n-gon: 78
Top: 741 	 Side: 39 	 Total: 780 	 n-gon: 80
Top: 780 	 Side: 40 	 Total: 820 	 n-gon: 82
Top: 820 	 Side: 41 	 Total: 861 	 n-gon: 84
Top: 861 	 Side: 42 	 Total: 903 	 n-gon: 86
Top: 903 	 Side: 43 	 Total: 946 	 n-gon: 88
Top: 946 	 Side: 44 	 Total: 990 	 n-gon: 90
Top: 990 	 Side: 45 	 Total: 1035 	 n-gon: 92
Top: 1035 	 Side: 46 	 Total: 1081 	 n-gon: 94
Top: 1081 	 Side: 47 	 Total: 1128 	 n-gon: 96
Top: 1128 	 Side: 48 	 Total: 1176 	 n-gon: 98
Top: 1176 	 Side: 49 	 Total: 1225 	 n-gon: 100


Top: 1225 	 Side: 50 	 Total: 1275 	 n-gon: 102
Top: 1275 	 Side: 51 	 Total: 1326 	 n-gon: 104
Top: 1326 	 Side: 52 	 Total: 1378 	 n-gon: 106
Top: 1378 	 Side: 53 	 Total: 1431 	 n-gon: 108
Top: 1431 	 Side: 54 	 Total: 1485 	 n-gon: 110
Top: 1485 	 Side: 55 	 Total: 1540 	 n-gon: 112
Top: 1540 	 Side: 56 	 Total: 1596 	 n-gon: 114
Top: 1596 	 Side: 57 	 Total: 1653 	 n-gon: 116
Top: 1653 	 Side: 58 	 Total: 1711 	 n-gon: 118
